测试用例ID|测试类型|测试场景|输入文本|参数设置|预期输出|优先级|description|expected_result
TC011|反向测试|纯空格文本|    |{"voice":"female","speed":1.0,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|返回400错误，提示text不能为空或仅包含空格|高|验证空格文本校验|HTTP 400，错误信息：text不能为空或仅包含空格
TC012|反向测试|无效voice参数|测试文本|{"voice":"invalid_voice","speed":1.0,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|返回400错误，提示voice参数无效|高|验证参数有效性校验|HTTP 400，错误信息：voice参数无效，可选值为male/female/child
TC013|反向测试|无效language参数|测试文本|{"voice":"female","speed":1.0,"volume":80,"pitch":0,"language":"invalid_lang","format":"mp3"}|返回400错误，提示language参数无效|高|验证参数有效性校验|HTTP 400，错误信息：language参数无效，可选值为zh/en
TC014|反向测试|无效format参数|测试文本|{"voice":"female","speed":1.0,"volume":80,"pitch":0,"language":"zh","format":"invalid_format"}|返回400错误，提示format参数无效|高|验证参数有效性校验|HTTP 400，错误信息：format参数无效，可选值为mp3/wav
TC015|反向测试|speed参数类型错误|测试文本|{"voice":"female","speed":"1.0","volume":80,"pitch":0,"language":"zh","format":"mp3"}|返回400错误，提示speed参数类型错误|高|验证参数类型校验|HTTP 400，错误信息：speed参数类型错误，应为数字
TC016|反向测试|volume参数类型错误|测试文本|{"voice":"female","speed":1.0,"volume":"80","pitch":0,"language":"zh","format":"mp3"}|返回400错误，提示volume参数类型错误|高|验证参数类型校验|HTTP 400，错误信息：volume参数类型错误，应为数字
TC017|反向测试|pitch参数类型错误|测试文本|{"voice":"female","speed":1.0,"volume":80,"pitch":"0","language":"zh","format":"mp3"}|返回400错误，提示pitch参数类型错误|高|验证参数类型校验|HTTP 400，错误信息：pitch参数类型错误，应为数字
TC018|边界测试|speed最小边界值|测试文本|{"voice":"female","speed":0.5,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|正常生成慢速语音，可听清内容|高|验证speed最小边界值|HTTP 200，返回音频URL，语速为0.5倍
TC019|边界测试|speed最小值-1|测试文本|{"voice":"female","speed":0.4,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|返回400错误，提示speed超出范围|高|验证speed下限校验|HTTP 400，错误信息：speed参数超出范围，应在0.5-2.0之间
TC020|边界测试|speed最大边界值|测试文本|{"voice":"female","speed":2.0,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|正常生成快速语音，可听清内容|高|验证speed最大边界值|HTTP 200，返回音频URL，语速为2.0倍
TC021|边界测试|speed最大值+1|测试文本|{"voice":"female","speed":2.1,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|返回400错误，提示speed超出范围|高|验证speed上限校验|HTTP 400，错误信息：speed参数超出范围，应在0.5-2.0之间
TC022|边界测试|volume最小边界值|测试文本|{"voice":"female","speed":1.0,"volume":0,"pitch":0,"language":"zh","format":"mp3"}|正常生成静音或极小音量语音|中|验证volume最小边界值|HTTP 200，返回音频URL，音量为0
TC023|边界测试|volume最小值-1|测试文本|{"voice":"female","speed":1.0,"volume":-1,"pitch":0,"language":"zh","format":"mp3"}|返回400错误，提示volume超出范围|高|验证volume下限校验|HTTP 400，错误信息：volume参数超出范围，应在0-100之间
TC024|边界测试|volume最大边界值|测试文本|{"voice":"female","speed":1.0,"volume":100,"pitch":0,"language":"zh","format":"mp3"}|正常生成最大音量语音，不失真|高|验证volume最大边界值|HTTP 200，返回音频URL，音量为100
TC025|边界测试|volume最大值+1|测试文本|{"voice":"female","speed":1.0,"volume":101,"pitch":0,"language":"zh","format":"mp3"}|返回400错误，提示volume超出范围|高|验证volume上限校验|HTTP 400，错误信息：volume参数超出范围，应在0-100之间
TC026|边界测试|pitch最小边界值|测试文本|{"voice":"female","speed":1.0,"volume":80,"pitch":-5,"language":"zh","format":"mp3"}|正常生成低语调语音，可识别|中|验证pitch最小边界值|HTTP 200，返回音频URL，语调为-5
TC027|边界测试|pitch最小值-1|测试文本|{"voice":"female","speed":1.0,"volume":80,"pitch":-6,"language":"zh","format":"mp3"}|返回400错误，提示pitch超出范围|高|验证pitch下限校验|HTTP 400，错误信息：pitch参数超出范围，应在-5到5之间
TC028|边界测试|pitch最大边界值|测试文本|{"voice":"female","speed":1.0,"volume":80,"pitch":5,"language":"zh","format":"mp3"}|正常生成高语调语音，可识别|中|验证pitch最大边界值|HTTP 200，返回音频URL，语调为5
TC029|边界测试|pitch最大值+1|测试文本|{"voice":"female","speed":1.0,"volume":80,"pitch":6,"language":"zh","format":"mp3"}|返回400错误，提示pitch超出范围|高|验证pitch上限校验|HTTP 400，错误信息：pitch参数超出范围，应在-5到5之间
TC030|边界测试|文本长度-1个字符|测|{"voice":"female","speed":1.0,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|正常生成语音|低|验证最短文本处理|HTTP 200，返回音频URL
